16	95
36	80
49	84
5	75
80	42
63	36
80	24
21	15
73	21
13	16
79	31
18	11
19	34
62	76
70	87
95	6
15	17
64	62
31	84
59	27
33	28
8	92
65	92
38	8
25	77
69	8
68	3
38	81
10	52
87	62
60	78
77	20
50	1
19	88
15	48
98	14
14	29
91	46
56	32
100	45
18	42
74	77
97	66
38	25
5	52
23	37
53	49
89	12
80	71
37	68
2	73
47	37
35	81
2	14
21	68
42	82
3	16
16	4
10	25
94	36
47	42
41	24
12	5
65	87
59	74
28	82
19	98
88	11
7	95
72	16
26	54
39	59
36	63
45	6
5	82
48	38
66	94
12	72
44	4
82	68
15	54
12	8
23	62
1	32
39	17
26	97
88	11
21	84
82	27
37	42
96	98
76	55
28	83
89	93
74	80
36	91
63	83
13	38
95	84
59	62
93	59
92	19
38	29
73	50
56	68
54	64
18	49
10	40
98	86
54	22
83	58
100	8
83	48
76	4
50	79
81	77
57	37
18	41
57	7
59	69
37	43
57	8
43	61
59	61
57	37
70	5
9	21
53	18
50	81
99	24
57	92
63	99
71	77
46	7
26	23
42	3
87	42
60	79
92	29
51	55
100	36
4	85
22	96
63	14
85	38
3	75
79	38
5	16
85	15
3	32
23	57
40	72
40	64
67	27
47	67
55	99
58	61
4	82
24	21
45	79
25	75
50	63
50	82
87	89
78	48
85	41
85	66
46	67
74	56
97	2
31	43
49	20
28	21
74	1
8	23
15	54
74	42
47	28
79	80
65	82
13	66
44	91
51	85
54	50
40	35
26	81
90	77
6	34
28	13
38	100
94	61
32	5
95	91
30	12
27	9
28	92
70	44
97	56
76	81
25	83
14	73
55	62
59	95
47	75
84	88
17	97
72	65
40	84
26	2
42	81
14	37
42	8
100	49
22	39
33	79
30	44
51	93
7	2
54	97
86	42
36	42
36	86
46	58
1	28
58	24
59	76
21	20
28	5
15	3
62	70
1	21
17	98
45	5
99	68
24	22
78	53
65	74
96	24
11	100
11	24
64	57
75	29
68	16
50	11
21	4
53	37
91	86
83	6
33	46
77	88
42	62
99	36
60	12
64	44
4	84
10	42
69	8
50	64
57	58
3	40
42	84
61	75
67	7
46	84
27	42
15	38
70	72
80	30
40	17
88	2
44	84
6	56
57	44
98	72
75	79
77	63
87	96
48	73
64	50
89	59
97	77
13	42
80	49
99	65
53	73
43	31
61	38
35	9
30	24
71	46
69	92
54	98
67	60
25	34
11	68
87	96
57	88
62	18
44	15
19	81
8	1
18	59
76	37
100	46
41	70
17	9
64	15
83	93
19	86
80	84
1	87
44	22
27	19
9	82
29	50
20	14
27	52
56	67
98	37
3	89
88	93
32	48
59	42
1	100
46	43
27	19
34	35
35	80
59	9
49	28
35	78
83	57
34	88
70	84
64	72
87	43
73	83
82	93
35	16
90	68
96	22
65	29
30	43
78	72
8	46
88	80
10	35
95	77
33	96
69	64
84	91
5	87
69	4
37	44
39	92
85	88
42	14
47	36
57	18
13	84
65	54
61	42
96	64
45	48
73	99
87	26
76	48
86	15
39	72
70	22
9	23
37	33
39	80
12	96
60	54
72	80
69	27
37	39
54	72
65	92
18	29
96	2
21	84
95	59
21	45
87	76
92	13
16	53
91	88
10	95
11	8
93	61
44	54
39	80
63	90
55	42
17	13
29	84
2	77
